,zip,city,state,latitude,longitude,countyname,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
0,60657,Chicago,IL,41.940832,-87.65852,Cook County,1028900,1034500,1037400,1038700,1041500,1042800,1042900,1044400,1047800,1049700,1048300,1047900
1,77494,Katy,TX,29.760833,-95.81104,Harris County,322700,326500,330400,332700,334500,335900,337000,338300,338400,336900,336000,336500
2,60614,Chicago,IL,41.922682,-87.65432,Cook County,1310100,1315300,1317900,1321100,1325300,1323800,1321200,1320700,1319500,1318800,1319700,1323300
3,79936,El Paso,TX,31.766354999999997,-106.29828,El Paso County,120300,120500,120800,121300,122200,123000,123600,124500,125600,126300,126800,127400
4,77449,Katy,TX,29.825908000000002,-95.7301,Harris County,173500,174600,175500,176400,176900,176900,177300,178000,178500,179300,180200,180700
5,77084,Houston,TX,29.839154999999998,-95.66391,Harris County,162600,162900,163600,164800,165500,166200,167300,168600,169500,170700,172300,173600
6,10467,New York,NY,40.872265000000006,-73.86936999999999,Bronx County,413100,413700,416600,420400,422800,425900,430100,433700,434500,435500,439100,443100
7,60640,Chicago,IL,41.973181,-87.6665,Cook County,782500,783800,785100,787700,788500,778400,763500,758400,756500,749000,744600,749200
8,11226,New York,NY,40.645255999999996,-73.95553000000001,Kings County,894600,915400,942500,969000,995600,1024700,1059600,1090700,1111800,1122700,1114600,1100500
9,94109,San Francisco,CA,37.792778000000006,-122.42188,San Francisco County,3754200,3751700,3761200,3810600,3876700,3942300,3982900,3993000,3999000,4014600,4009500,4016600
10,37013,Nashville,TN,36.055115,-86.64782,Davidson County,205700,208500,210600,212200,213700,214800,216100,218200,221000,223700,225800,227100
11,78660,Pflugerville,TX,30.450121999999997,-97.62299999999999,Travis County,240300,242000,243300,243900,244300,244900,245700,246500,246800,247300,248400,249600
12,32162,The Villages,FL,28.945246,-81.98760899999999,Sumter County,246600,249000,251100,252500,254000,255700,257700,259200,260900,263100,264500,264800
13,11375,New York,NY,40.720535,-73.84581999999999,Queens County,1079600,1070900,1067600,1076000,1087300,1087500,1081300,1075200,1074500,1079300,1092900,1103700
14,11235,New York,NY,40.583803,-73.95019,Kings County,803700,805900,807900,812700,817900,820400,819600,820600,826300,828200,820200,812500
15,60647,Chicago,IL,41.921126,-87.70085,Cook County,476600,477200,475200,474700,476100,477200,476400,475300,476200,476500,474900,474800
16,90250,Hawthorne,CA,33.914614,-118.35092,Los Angeles County,599700,605900,611600,614200,617300,621000,625700,631100,636600,642800,648400,652100
17,37211,Nashville,TN,36.079259,-86.72584,Davidson County,256400,260200,263000,264400,265600,266600,267700,268500,270100,272000,273400,274300
18,60618,Chicago,IL,41.945681,-87.7048,Cook County,461300,465900,469400,470500,472700,473300,470300,466800,465700,465700,464900,464500
19,10011,New York,NY,40.741012,-74.00012,New York County,11946900,11704200,11241000,11010500,11271900,11562900,11499900,11372200,11173800,10683700,10256900,10161000
20,77573,League City,TX,29.502759,-95.08906,Galveston County,255300,258500,261000,262500,263700,264800,265700,267100,268400,269000,269400,270100
21,77584,Pearland,TX,29.543653999999997,-95.34036,Brazoria County,252300,254100,255900,257300,259200,261200,262500,263000,263000,263500,264700,265800
22,10128,New York,NY,40.781894,-73.95039,New York County,7406800,7456800,7494200,7529400,7534400,7494600,7417200,7395700,7265400,6917500,6562400,6429200
23,11201,New York,NY,40.695285999999996,-73.98907,Kings County,5181400,5177700,5181700,5127900,5062400,4995700,4918200,4887200,4838900,4731400,4625300,4581900
24,20002,Washington,DC,38.901811,-76.99096999999999,District of Columbia,678400,681500,684800,687700,691700,697300,702900,707100,712200,717600,721000,722900
25,78130,New Braunfels,TX,29.699844,-98.10754,Comal County,216900,219300,221500,223100,225400,227100,227600,227900,228600,228700,228600,229000
26,28269,Charlotte,NC,35.329235,-80.80485999999999,Mecklenburg County,193500,195900,197600,198300,198700,199500,200800,202300,204200,206600,208700,210100
27,78613,Cedar Park,TX,30.501271999999997,-97.83086999999999,Williamson County,295700,296700,297500,297500,297300,297200,297000,297100,297800,299200,301500,304000
28,78572,Mission,TX,26.234416999999997,-98.34205,Hidalgo County,100500,102300,104400,105700,106600,107100,107200,107300,107700,107900,108200,108600
29,94565,Pittsburg,CA,38.017917,-121.90502,Contra Costa County,408400,412800,417700,421600,425900,429100,430200,429400,429400,428600,426100,423700
30,79912,El Paso,TX,31.848055,-106.54486999999999,El Paso County,185000,185900,187200,188600,189800,190500,190600,190600,191100,191300,190800,190400
31,30349,Riverdale,GA,33.61541,-84.49033,Clayton County,124900,126300,126600,127200,128000,128100,127700,127700,128400,129500,131000,131900
32,90046,Los Angeles,CA,34.098908,-118.36241000000001,Los Angeles County,1931000,1935600,1932400,1935400,1941500,1948700,1938000,1916500,1899600,1894800,1892600,1893500
33,20009,Washington,DC,38.919211,-77.03777,District of Columbia,1063200,1072300,1073500,1065900,1071200,1087400,1094300,1089800,1089600,1086400,1076800,1069200
34,75052,Grand Prairie,TX,32.675604,-97.02346,Dallas County,195700,198700,201400,203300,204800,206100,207300,208300,209300,211200,214000,216500
35,37042,Clarksville,TN,36.58068,-87.4056,Montgomery County,127400,128900,129800,130400,131200,132200,133000,133700,134600,135900,137200,138100
36,77433,Cypress,TX,29.884175,-95.72219,Harris County,250100,251300,252500,253600,254500,254900,254900,254900,254700,254600,254700,255300
37,73099,Yukon,OK,35.506204,-97.74814,Canadian County,160500,161500,162500,163000,163300,163800,164800,165800,166400,166500,166700,167100
38,10462,New York,NY,40.842172999999995,-73.85862,Bronx County,443600,445400,448500,453300,457300,461800,468500,474100,477900,482300,486300,489000
39,10456,New York,NY,40.829676,-73.90856,Bronx County,372800,381400,389800,397000,400900,399000,396600,401800,411800,424200,438000,449600
40,77429,Cypress,TX,29.982746000000002,-95.66597,Harris County,242000,242900,243600,244600,245600,245800,245900,245800,245300,245600,246700,247700
41,77479,Sugar Land,TX,29.573345,-95.63213,Fort Bend County,366500,368000,369100,369800,370600,370800,370100,370000,369100,367600,367800,369500
42,30044,Lawrenceville,GA,33.91967,-84.07481999999999,Gwinnett County,179300,181300,182600,183800,185600,187700,189200,190100,191300,193400,195400,196800
43,63376,Saint Peters,MO,38.778579,-90.62045,Saint Charles County,190300,190900,191800,193000,194400,195600,197000,198800,200500,201800,202700,203400
44,60613,Chicago,IL,41.953256,-87.6629,Cook County,1056300,1061400,1060800,1057400,1055300,1054300,1051200,1047500,1044800,1044000,1044000,1045800
45,77036,Houston,TX,29.70053,-95.53514,Harris County,179600,185800,192300,195100,197000,200300,203200,204400,205300,206400,207300,208500
46,10463,New York,NY,40.881085999999996,-73.90749,Bronx County,744500,760200,771600,779100,784900,790200,793000,793100,792700,795700,799900,802300
47,30043,Lawrenceville,GA,34.001159,-84.01487,Gwinnett County,224300,226300,227200,227900,229500,231100,231900,231900,232500,234700,237100,238400
48,11212,New York,NY,40.662191,-73.91328,Kings County,420900,425100,425300,427000,430100,433000,436800,442200,448600,454900,457600,457900
49,11230,New York,NY,40.622994,-73.96427,Kings County,1122100,1151500,1176600,1199000,1219600,1235900,1249600,1265900,1278100,1282600,1279800,1278300
50,60625,Chicago,IL,41.971614,-87.70255999999999,Cook County,466100,465500,464000,462700,463600,463000,459900,457900,457000,453800,450300,449000
51,11209,New York,NY,40.62327,-74.0295,Kings County,1013400,1011000,1006200,1006600,1012000,1018000,1022300,1029700,1042600,1057100,1066000,1068700
52,60629,Chicago,IL,41.777482,-87.71155,Cook County,164200,164800,164900,165600,166600,167000,167200,167700,168400,169500,170600,171200
53,28277,Charlotte,NC,35.054546,-80.81792,Mecklenburg County,356800,359200,360900,361200,361000,360400,359800,359900,361100,362700,364100,365300
54,7030,Hoboken,NJ,40.744851000000004,-74.03294,Hudson County,1830000,1831900,1828300,1817600,1809900,1795500,1767600,1746900,1746400,1752800,1756800,1759500
55,78245,San Antonio,TX,29.412338000000002,-98.70484,Bexar County,165800,167300,168200,168500,168900,169700,170600,171600,172600,173800,174800,175600
56,75287,Dallas,TX,32.998785999999996,-96.84436,Dallas County,328200,330800,332500,334500,338000,340500,340800,339700,337400,336300,338600,342200
57,78704,Austin,TX,30.246309000000004,-97.76087,Travis County,541600,549000,555900,560000,563500,567600,572300,577700,580500,585800,594100,599800
58,85032,Phoenix,AZ,33.624140000000004,-112.00416000000001,Maricopa County,261800,263200,264600,266000,267300,269300,271600,273700,275800,278500,281000,282700
59,60610,Chicago,IL,41.898582,-87.6371,Cook County,1058600,1057100,1052700,1051900,1054000,1055700,1056000,1057500,1058300,1054700,1050900,1052400
60,11221,New York,NY,40.691234,-73.92636999999999,Kings County,1002200,1022800,1040100,1044000,1045100,1044500,1056000,1065400,1075000,1096500,1123000,1128400
61,33160,Sunny Isles Beach,FL,25.941535000000002,-80.13861,Miami-Dade County,1495100,1467700,1444100,1424500,1403300,1385000,1368500,1353400,1342400,1338900,1331900,1328200
62,23464,Virginia Beach,VA,36.799284,-76.17766999999999,Virginia Beach City,252900,252800,252700,252900,253800,254400,255100,256000,256900,257800,259200,260800
63,77077,Houston,TX,29.750897,-95.61255,Harris County,311400,313700,316000,317100,316800,315600,315200,315500,315000,315000,315400,315500
64,30096,Duluth,GA,33.979401,-84.15118000000001,Gwinnett County,215600,218400,220000,221100,223300,225600,227400,228500,230000,232400,234700,236200
